instance_10 -- 25 containers -- 3 carriers -- 5 chassis -- 30-day horizon,,,,,,,,,,,,,,,,,,,,,,,,
25.0,3.0,5.0,,300,15,,,,,,,,,,,,,,,,,,,
1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0
b,a,b,b,a,b,c,a,b,a,a,b,a,b,a,b,a,c,a,b,c,b,b,a,b
27,17,27,12,25,23,7,17,23,25,17,18,25,27,17,18,1,7,1,27,13,18,27,1,23
1.85,1.28,2.46,3.18,2.36,2.52,1.23,2.52,4.16,3.66,3.2,1.66,3.87,3.69,1.81,2.9,1.29,1.68,2.14,1.79,3.3,3.52,2.2,2.14,1.67
11,20,7,15,4,10,12,9,6,21,3,5,22,16,1,24,25,23,19,8,2,13,14,18,17
a,3,b,6,c,7,,,,,,,,,,,,,,,,,,,
a,2600,b,1100,c,2600,,,,,,,,,,,,,,,,,,,
a,21,b,28,c,21,,,,,,,,,,,,,,,,,,,
a,100,b,50,c,50,,,,,,,,,,,,,,,,,,,
leg_1,0.125,leg_2,0.125,leg_3,0.125,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
