instance_2 -- 20 containers -- 3 carriers -- 5 chassis -- 7-day horizon,,,,,,,,,,,,,,,,,,,
20.0,3.0,5.0,,300,15,,,,,,,,,,,,,,
1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0
a,b,a,c,c,a,c,b,b,c,a,a,a,b,c,a,c,c,c,b
0,5,0,0,0,0,0,5,5,0,0,0,0,5,0,0,0,0,0,5
2.4,1.32,2.68,2.4,2.36,2.17,1.9,2.86,2.1,2.03,2.87,2.62,1.73,2.58,1.86,3.4,3.68,2.54,3.64,1.56
13,5,19,1,10,6,4,11,2,18,8,17,15,3,12,7,20,14,16,9
a,2,b,5,c,5,,,,,,,,,,,,,,
a,100,b,100,c,200,,,,,,,,,,,,,,
a,28,b,28,c,14,,,,,,,,,,,,,,
a,150,b,100,c,50,,,,,,,,,,,,,,
leg_1,0.125,leg_2,0.125,leg_3,0.125,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
