instance_6 -- 15 containers -- 3 carriers -- 5 chassis -- 7-day horizon,,,,,,,,,,,,,,
15.0,3.0,5.0,,100,10,,,,,,,,,
1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0
a,b,c,a,b,c,a,b,c,c,c,a,c,a,a
4,6,1,4,6,1,4,6,1,1,1,4,1,4,4
1.55,3.37,2.4,3.18,4.49,2.65,2.55,1.54,2.04,2.55,3.04,3.47,2.27,1.51,2.08
9,6,11,3,13,1,2,15,14,8,12,4,7,10,5
a,6,b,3,c,4,,,,,,,,,
a,150,b,100,c,200,,,,,,,,,
a,28,b,21,c,14,,,,,,,,,
a,50,b,150,c,150,,,,,,,,,
leg_1,0.125,leg_2,0.125,leg_3,0.125,,,,,,,,,
,,,,,,,,,,,,,,
