instance_8 -- 16 containers -- 3 carriers -- 5 chassis -- 30-day horizon,,,,,,,,,,,,,,,
16.0,3.0,5.0,,300,15,,,,,,,,,,
1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0
c,a,c,b,c,a,c,b,b,c,a,a,c,b,a,b
22,28,22,21,1,28,1,21,24,1,22,28,22,21,22,29
1.2,2.56,2.54,1.73,1.75,1.94,2.36,2.0,1.58,2.2,1.82,3.79,4.23,1.39,3.1,2.74
8,12,14,10,3,1,4,5,11,2,16,9,7,6,13,15
a,6,b,3,c,3,,,,,,,,,,
a,100,b,300,c,100,,,,,,,,,,
a,28,b,14,c,21,,,,,,,,,,
a,100,b,150,c,100,,,,,,,,,,
leg_1,0.125,leg_2,0.125,leg_3,0.125,,,,,,,,,,
,,,,,,,,,,,,,,,
